,address_raw,address_clean,latitude,longitude,working_hours,geocoding_quality
398,Якорный Переулок  11,"Красноярск, Якорный Переулок, 11",55.9995747,92.9312587,9:00-20:00,"11, Якорный переулок, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660025, Россия"
399,Комсомольский Проспект  4,"Красноярск, Комсомольский Проспект, 4",56.0644993,92.9315637,9:00-20:00,"4, Комсомольский проспект, Северный, 5-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
400,Сопочная ул.  36,"Красноярск, Сопочная улица, 36",56.0064407,92.8126118,9:00-20:00,"36, Сопочная улица, Николаевка, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660100, Россия"
401,Проспект Имени Газеты Красноярский Рабочий  57,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 57",56.0083353,92.956358,9:00-20:00,"57, проспект имени газеты Красноярский Рабочий, Нефтебаза, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
402,ул. Авиаторов  21,"Красноярск, улица Авиаторов, 21",56.0421281,92.9223818,9:00-20:00,"21, улица Авиаторов, Взлётка, микрорайон АЦ, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
403,ул. Петра Подзолкова  10,"Красноярск, улица Петра Подзолкова, 10",56.0556396,92.888866,10:00-21:00,"10, улица Петра Подзолкова, Покровка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
404,ул. Говорова  57А,"Красноярск, улица Говорова, 57А",55.9954712,93.0132578,9:00-20:00,"57А/1, улица Говорова, Энергетиков, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660013, Россия"
405,ул. Авиаторов  41,"Красноярск, улица Авиаторов, 41",56.0482956,92.9108407,9:00-20:00,"41, улица Авиаторов, Взлётка, микрорайон ВЦ, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
406,ул. Новая Заря  д. 7,"Красноярск, улица Новая Заря, 7",56.0186774,92.8028901,9:00-20:00,"7, улица Новая Заря, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660028, Россия"
407,ул. Соколовская  д. 78,"Красноярск, улица Соколовская, 78",56.1127089,92.9068555,9:00-20:00,"78, Соколовская улица, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660132, Россия"
